FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2501,2501 - PLANNING AND ADMINISTRATION,340,MATERIAL AND SUPPLIES,$34215.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2501,2501 - PLANNING AND ADMINISTRATION,350,STATIONERY AND OFFICE SUPPL,$17354.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2501,2501 - PLANNING AND ADMINISTRATION,9438,REIMBURSEMENT - DGS,$13148.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2501,2501 - PLANNING AND ADMINISTRATION,9651,REIMREIMB CORP,$1152402.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2501,2501 - PLANNING AND ADMINISTRATION,9667,FOR REIMB CDBG-R,$-35243.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2505,2505 - YOUTH SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$576133.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2505,2505 - YOUTH SERVICES,15,SCHEDULE SALARY ADJ,$3227.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2505,2505 - YOUTH SERVICES,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-54086.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2505,2505 - YOUTH SERVICES,44,FRINGE BENEFITS,$210759.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2505,2505 - YOUTH SERVICES,135,DELEGATE AGENCIES,$6957378.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$2943307.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,15,SCHEDULE SALARY ADJ,$22469.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,20,OVERTIME,$135000.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-50335.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,44,FRINGE BENEFITS,$1083278.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,135,DELEGATE AGENCIES,$2842330.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,155,RENTAL OF PROPERTY,$99000.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,9440,REIMBURSEMENT - FLEET,$198620.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2510,2510 - HUMAN SERVICES,9667,FOR REIMB CDBG-R,$-17621.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2515,2515 - HOMELESS SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$855994.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2515,2515 - HOMELESS SERVICES,15,SCHEDULE SALARY ADJ,$4265.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2515,2515 - HOMELESS SERVICES,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-45480.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2515,2515 - HOMELESS SERVICES,44,FRINGE BENEFITS,$316117.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2515,2515 - HOMELESS SERVICES,135,DELEGATE AGENCIES,$4959730.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$329524.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,15,SCHEDULE SALARY ADJ,$1524.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-6785.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,44,FRINGE BENEFITS,$124727.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,135,DELEGATE AGENCIES,$3427476.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2520,2520 - WORKFORCE SERVICES,9667,FOR REIMB CDBG-R,$-35243.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2525,2525 - SENIOR SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$317508.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2525,2525 - SENIOR SERVICES,44,FRINGE BENEFITS,$116150.00
CDBG,0K37,(0K37) - CDBG,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2525,2525 - SENIOR SERVICES,135,DELEGATE AGENCIES,$1587000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2801,2801 - OAA NUTRITION PGM INCOME,140,PROF & TECHNICAL SERVICES,$1091000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2802,2802 - OAA NUTRITION PGM INC - HM DEV,140,PROF & TECHNICAL SERVICES,$1576000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,5,SALARIES AND WAGES - ON PAYROLL,$216843.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,44,FRINGE BENEFITS,$79325.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,130,POSTAGE,$5000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,140,PROF & TECHNICAL SERVICES,$4113247.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,150,PUBLICATN & REPRODT-OUT,$8000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,162,REPAIR/MAINT EQUIPMENT,$11200.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,166,DUES  SUBSC & MEM,$3200.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,169,TECHNICAL MEETING COSTS,$3371.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,186,PAGERS,$5000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,191,TELEPHONE-RELOCATIONS,$9600.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,229,TRAN/EXP ALLOWANCE,$3000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,348,BOOKS AND RELATED MTL,$1414.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,350,STATIONERY AND OFFICE SUPPL,$4000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,424,FURNITURE AND FURNISHINGS,$16000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,445,TECH AND SCIENTIFIC EQUIP,$20800.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,5,SALARIES AND WAGES - ON PAYROLL,$5931779.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,15,SCHEDULE SALARY ADJ,$37401.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-137207.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,39,STUDENT AS TRAINEES,$10000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,44,FRINGE BENEFITS,$2189043.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,70,TUITION REIMBURSEMENT,$18557.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,125,OFF AND BUILDING SERV,$6796.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,126,OFFICE CONVENIENCES,$2514.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,130,POSTAGE,$71606.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,140,PROF & TECHNICAL SERVICES,$7695539.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,150,PUBLICATN & REPRODT-OUT,$606207.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,160,REPAIR/MAINT PROPERTY,$37480.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,162,REPAIR/MAINT EQUIPMENT,$61101.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,166,DUES  SUBSC & MEM,$11104.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,169,TECHNICAL MEETING COSTS,$8479.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,178,FREIGHT/EXPENSE CHARGES,$1064.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,186,PAGERS,$81184.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,191,TELEPHONE-RELOCATIONS,$14326.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,229,TRAN/EXP ALLOWANCE,$36000.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,245,REIMBURSEMENT TRAVELERS,$4716.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,270,LOCAL TRANSPORTATION,$17838.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,340,MATERIAL AND SUPPLIES,$64002.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,348,BOOKS AND RELATED MTL,$9880.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,350,STATIONERY AND OFFICE SUPPL,$91384.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,424,FURNITURE AND FURNISHINGS,$60830.00
GRANTS,20,SR CITIZEN NUTRITION/SOC SERV,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,445,TECH AND SCIENTIFIC EQUIP,$25377.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,5,SALARIES AND WAGES - ON PAYROLL,$1860111.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,15,SCHEDULE SALARY ADJ,$17132.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-20451.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,44,FRINGE BENEFITS,$699230.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,140,PROF & TECHNICAL SERVICES,$2100600.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,270,LOCAL TRANSPORTATION,$988.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,340,MATERIAL AND SUPPLIES,$1499.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,350,STATIONERY AND OFFICE SUPPL,$1499.00
GRANTS,66,EMERGENCY SHELTER PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2830,2830 - EMERGENCY SHELTER - IDHS,9651,REIMREIMB CORP,$189392.00
GRANTS,74,AGING-PRIVATELY FUNDED,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2816,2816 - SENIOR FITNESS PRIVATE,140,PROF & TECHNICAL SERVICES,$200000.00
GRANTS,74,AGING-PRIVATELY FUNDED,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2910,2910 - SENIOR CITIZENS PICNIC SUPPORT,140,PROF & TECHNICAL SERVICES,$324000.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2820,2820 - LONGTERM CARE SYSTEM DEVELOP,5,SALARIES AND WAGES - ON PAYROLL,$41817.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2820,2820 - LONGTERM CARE SYSTEM DEVELOP,15,SCHEDULE SALARY ADJ,$1768.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2820,2820 - LONGTERM CARE SYSTEM DEVELOP,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-6702.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2820,2820 - LONGTERM CARE SYSTEM DEVELOP,44,FRINGE BENEFITS,$26117.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2843,2843 - FLEXIBLE SENIOR SERVICES,140,PROF & TECHNICAL SERVICES,$100000.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2846,2846 - ELDER ABUSE AND NEGLECT,140,PROF & TECHNICAL SERVICES,$2000000.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2928,2928 - SENIOR HEALTH INSURANCE PGM,140,PROF & TECHNICAL SERVICES,$31000.00
GRANTS,93,DEPT AGING-STATE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2929,2929 - ELDER JUSTICE COMM. COLLAB.,140,PROF & TECHNICAL SERVICES,$10000.00
GRANTS,168,WINTER SHELTER HMLS,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2822,2822 - SERV TAX FD INVEST INCOME WARM,140,PROF & TECHNICAL SERVICES,$35000.00
GRANTS,238,DOMESTIC VIOLENCE-P,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2926,2926 - DOM VIOLENCE HELP LINE PRIVATE,245,REIMBURSEMENT TRAVELERS,$4738.00
GRANTS,238,DOMESTIC VIOLENCE-P,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2926,2926 - DOM VIOLENCE HELP LINE PRIVATE,350,STATIONERY AND OFFICE SUPPL,$13262.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2814,2814 - MENTORING FOR SYSTEMS YOUTH,140,PROF & TECHNICAL SERVICES,$154000.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2827,2827 - SERVICES TO VICTIMS OF DOM VIO,5,SALARIES AND WAGES - ON PAYROLL,$149693.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2827,2827 - SERVICES TO VICTIMS OF DOM VIO,15,SCHEDULE SALARY ADJ,$3074.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2827,2827 - SERVICES TO VICTIMS OF DOM VIO,44,FRINGE BENEFITS,$97233.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2831,2831 - SAFE HAVENS - SUPERVISED VISIT,140,PROF & TECHNICAL SERVICES,$250000.00
GRANTS,272,ICJIA GRANT,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2852,2852 - JUVENILE INTERVENTION SUPPORT,140,PROF & TECHNICAL SERVICES,$600000.00
GRANTS,277,AGING MISC GRANTS,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2817,2817 - COOPERATIVE AGREEMENT,140,PROF & TECHNICAL SERVICES,$22000.00
GRANTS,277,AGING MISC GRANTS,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2836,2836 - LONG TERM CARE OMBUDSMAN,140,PROF & TECHNICAL SERVICES,$83000.00
GRANTS,298,AGING AND DIS MISC,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2901,2901 - CHICAGO FUND SUPPORT - SENIOR,140,PROF & TECHNICAL SERVICES,$430000.00
GRANTS,529,CDOA SPECIAL INITIATIVES,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2837,2837 - SENIOR PROGRAM PRIVATE CONTRIB,140,PROF & TECHNICAL SERVICES,$950000.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,5,SALARIES AND WAGES - ON PAYROLL,$3828259.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,15,SCHEDULE SALARY ADJ,$26302.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-103083.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,39,STUDENT AS TRAINEES,$116974.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,44,FRINGE BENEFITS,$1416690.00
GRANTS,585,CHILD CARE,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2865,2865 - EMPLOY RELATED DAY CARE - IDHS,140,PROF & TECHNICAL SERVICES,$40854858.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,5,SALARIES AND WAGES - ON PAYROLL,$108263.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,15,SCHEDULE SALARY ADJ,$737.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,44,FRINGE BENEFITS,$39605.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,140,PROF & TECHNICAL SERVICES,$312799.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,270,LOCAL TRANSPORTATION,$816.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,350,STATIONERY AND OFFICE SUPPL,$6886.00
GRANTS,589,CDOA LOCAL PROGRAM,50,FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,445,TECH AND SCIENTIFIC EQUIP,$4500.00
